title,author,published_at,description
MPV driver shot in abdomen after ramming police vehicles in ambush drama,Amirul Aiman Hamsuddin,"June 24, 2024 @ 5:00pm","Hulu Selangor: Police fired several shots at a multi-purpose vehicle (MPV) that rammed their vehicles in front of a food stall in Serendah, here, last Friday. Hulu Selangor police chief Superintendent Ahmad Faizal Tahrim said the incident occurred at 4.40pm when policemen from the Muallim district police headquarters were tailing a suspicious purple-colour Perodua Alza. ""When the suspect's vehicle stopped in front of the food stall, police blocked it with two vehicles. ""The suspect then rammed into both police vehicles, endangering the lives of the policemen,"" he said today. Faizal said the police then fired several shots at the suspect's vehicle. He added the suspect sustained injuries to the abdomen due to gunshot wounds. ""The suspect was taken to Selayang Hospital and is in stable condition. ""Checks revealed that the suspect had 14 past records involving various crimes and possession of drugs,"" he said. Faizal said the suspect has been remanded for seven days starting from Saturday until June 28 to assist in investigations under Section 307 of the Penal Code."
"2,500 cartons of smuggled liquor worth RM350,000 seized by Sabah Customs",Juwan Riduan,"June 24, 2024 @ 4:52pm","KOTA KINABALU: An attempt to smuggle liquor worth about RM350,000 on a lorry was foiled by the Customs department recently. The department seized the liquor at Km 1, Jalan Lama Papar-Penampang, Kampung Novoung, about 11pm on June 12. The untaxed liquor, believed to have been smuggled from Labuan to be sold in Kota Kinabalu, was worth RM347,223, including taxes and duties. Assistant Sabah Customs director-general Datuk Mohd Nasir Deraman today said that acting on intelligence, the operations team intercepted a rigid lorry carrying 30 blue barrels. He said there were 2,500 cartons of liquor hidden under the barrels. The team detained the male lorry driver, 43, he added. He said this at the Sepanggar Enforcement Complex here. ""The total seizure, including the lorry and liquor, is estimated at RM451,223, including duties and taxes."" Nasir said smuggling not only caused a loss of national revenue but also posed a threat to security and public welfare. He said the public could provide information on smuggling via the Customs toll-free line 1-800-88-8855."
Three remanded by MACC over link to the release of suspects in drug case,Nazdy Harun,"June 24, 2024 @ 4:47pm","KUALA TERENGGANU: Two enforcement agency senior officers have been remanded for five days to assist in investigations after allegedly being involved in facilitating the release of three men linked to a drug case. Also remanded for four days is the 36-year-old wife of one of the officers. The remand order against all three suspects was issued by Kuala Terengganu Court assistant registrar Yuhanis Mohd Roslan. The investigation is being conducted under Section 16(a)(B) of the Malaysian Anti-Corruption Commission Act 2009 involving the 36-year-old husband and wife duo and another suspect aged 41. Earlier, all of them were detained between 2pm and 5.30pm on Sunday while providing statements at the Terengganu MACC office. The three suspects allegedly solicited and accepted bribes totalling RM30,000 from an individual in exchange for releasing the suspects that were detained under the Dangerous Drugs Act 1952. The incident occurred in 2021 when the two senior enforcement officers were stationed in a district in Terengganu. The alleged bribe money is also suspected to have been used by one of the suspects, now stationed in a district in Kedah, and his wife for online gambling investments. MACC investigations found that the money was initially believed to have been deposited into a third-party account before being transferred to the suspect's wife's account. The three suspects were represented by lawyer Muhamad Ramlam Taib, while the remand application was handled by MACC investigators."
Kelantan Youth and Sports Department assistant claims trial to 6 cheating charges,Sharifah Mahsinah Abdullah,"June 24, 2024 @ 4:29pm","KOTA BARU: A state Youth and Sports Department assistant was today charged with six counts of cheating involving RM64,200 and flood relief items between 2019 and 2022. Muhammad Alif Heikal Samsol, 35, pleaded not guilty before sessions court judge Dazuki Ali. According to the first charge, Alif allegedly cheated a 53-year-old male contractor into handing over RM25,000 to him for a non-existent futsal renovation project under the supervision of the Bachok District Youth and Sports office. Alif allegedly committed the offence at a restaurant in Pantai Irama, Bachok, on Oct 16,2019. For the other five charges, he allegedly cheated a 38-year-old female supplier into handing over cash amounting to RM39,200 and supplying 80 boxes containing dry food, packs of women's necessities and blankets. The accused deceived the victim into believing that the latter had been appointed as a supplier of the Post-Flood Disaster Programme as well as the Satria Rakan Muda Volunteer Course Programme under the state Youth and Sports Department. He allegedly committed the five offences at a petrol station in Panji and a hotel in Tunjong between Nov 9 and 24, 2022. Mariah Omar and Ermi Yadmin Abd Momen of the Malaysian Anti-Corruption Commission prosecuted while the accused was represented by lawyer Azura Ghazali. The prosecution proposed bail of RM20,000 with the additional conditions that the accused must hand over his passport to the authorities, report to a MACC office, and not disturb the prosecution's witnesses. Azura appealed for the bail to be reduced on the grounds that the accused supported his wife and four children. The accused, who has been transferred to another department in Selangor since a year ago, was granted bail of RM10,000 with one surety with additional conditions, including having to report to the MACC office in Kota Baru every month. The judge set July 28 for the case to be re-mentioned."
Chegubard's sedition case over casino project for hearing on Nov 18,Bernama,"June 24, 2024 @ 4:21pm","JOHOR BARU: The Sessions Court here today set four days to hear the case involving Bersatu Information Committee member Badrul Hisham Shaharin, also known as Chegubard, who is charged with posting seditious remarks related to the casino project in Forest City on social media. Judge Rasidah Roslee fixed Nov 18 to 21 for the hearing after both parties agreed to the dates. Last April 30, Badrul Hisham pleaded not guilty to the charge of making seditious remarks on his Facebook account under the name ""Che GuBard"" at Mutiara Villa Bukit Bintang, Kuala Lumpur at 6.30pm, on April 26. The charge was framed under Section 4(1)(c) of the Sedition Act 1948 (Act 15) which provides for a maximum fine of RM5,000 or imprisonment for up to three years or both if found guilty. Kuala Lumpur prosecution director Datin Kalmizah Salleh and deputy public prosecutor Nurilya Ellyna Nor Azmal appeared for the prosecution while lawyer Muhammad Rafique Rashid Ali represented Badrul Hisham. Meanwhile, Muhammad Rafique told a press conference, which was held after the court proceeding today, that he was still waiting for a mention date by the Court of Appeal in Kuala Lumpur over his client's appeal against a gag order issued by the High Court here. He said the appeal was filed on May 27. On May 20, the High Court here issued a gag order barring Badrul Hisham from issuing any statements or comments related to the casino project in Forest City until the disposal of the case. Judge Datuk Abu Bakar Katar, in his judgment, said that the court was of the view that Article 10 of the Federal Constitution on freedom of speech to respondent (Badrul Hisham) had a limit and not an absolute right.– BERNAMA"
Man charged with murdering mum sent to Hospital Bahagia,Bernama,"June 24, 2024 @ 4:05pm","GEORGE TOWN: The Magistrate's Court here today ordered a man charged with the murder of his mother to be referred to Hospital Bahagia Ulu Kinta, Perak, for mental observation. Magistrate Nadratun Naim Mohd Saidi, in allowing an application by deputy public prosecutor M. Darrshini, ordered that Soon Yong Aun, 40, be sent to the hospital for a month for observation under Section 342 of the Criminal Procedure Code. Soon was charged under Section 302 of the Penal Code with murdering Chua Ah Ting, 67, at a house in Taman Alor Vista here at 5.47 pm last June 15. He faced the death penalty or imprisonment for a minimum of 30 years and a maximum of 40 years and to be given at least 12 strokes of the cane, if convicted. Earlier, Darrshini, when requesting the accused to be sent for psychiatric observation, said the accused was a holder of a card for mental patients. The court set July 24 for mention for submission of the accused's medical report. – BERNAMA"
Rosmah applies to stay of hearing of suit by Lebanon-based jeweller,Bernama,"June 24, 2024 @ 3:55pm","KUALA LUMPUR: Datin Seri Rosmah Mansor has applied to stay the proceedings of the suit filed against her by Lebanon-based jeweller, Global Royalty Trading SAL, over the loss of more than 40 pieces of jewellery. Her lawyer, Rajivan Nambiar, said the application, filed on June 7, was to stay the proceedings of the suit pending the decision of her appeal at the Court of Appeal against a High Court decision which dismissed her application to include the government and the police as the third party in the case. In the proceedings before Senior Assistant Registrar Norhaina Zulkifli today, the court fixed Aug 16 to hear the stay application to be conducted online before Judge Ong Chee Kwan, said the lawyer when contacted today. Global Royalty filed the suit on May 29 last year, claiming that Rosmah had lied by saying that 44 pieces of jewellery, including diamond necklaces, bracelets, and tiaras that were sent to her by the company's agent were seized by the Malaysian authorities under the Anti-Money Laundering, Anti-Terrorism Financing and Proceeds of Unlawful Activities Act 2001. The jeweller also claimed that the wife of former Prime Minister Datuk Seri Najib Tun Razak had shifted the burden to the Malaysian government when in fact, the jewellery had gone missing. The company had initially sued Rosmah on June 26, 2018, and demanded that she return the 44 pieces of jewellery or pay US$14.79 million. However, the suit was withdrawn in 2019. – BERNAMA"
Cops find 3 stolen buffaloes trapped in abandoned MPV,T.n.alagesh,"June 24, 2024 @ 2:54pm","BERA: Policemen inspecting a multi-purpose vehicle (MPV) left abandoned by the roadside at Kampung Bukit Serdang in Kuala Bera, here, found three buffaloes crammed into the vehicle's back seat. District police chief Superintendent Zulkiflee Nazir said that in the 3.20am incident, the Kuala Bera police station was alerted by a villager who claimed to have spotted a vehicle parked suspiciously along the roadside. ""The man said he was worried about his safety due to the presence of the vehicle. Policemen were immediately deployed to the scene, but upon arriving there, the MPV driver was nowhere to be found. ""Policemen then inspected the vehicle and found three buffaloes crammed into the rear seat. The animals were weak and believed to be sedated,"" he said in a statement today, adding that policemen are probing the reason the animals and vehicle had been abandoned, and are tracking down the MPV owner. It is learnt that the buffaloes were reportedly stolen in Chenor, Maran, though the animals' owner has yet to lodge a police report."
Severed hand: 6 men remanded over fight between drug gangs,Zahratulhayat Mat Arif,"June 24, 2024 @ 2:39pm","IPOH: Six men were today remanded into custody for five days over a clash here between two gangs that resulted in severe injuries, including a severed hand. The fight near the Sultan Azlan Shah Health Ministry Training Institute yesterday was believed to be over control of drug territory, police said. Magistrate Adilah Mokhtar granted the remand order against the suspects, who are aged between 23 and 37. Yesterday, firemen battling a blaze near Hospital Bahagia Ulu Kinta, Tanjung Rambutan, here found a human hand, severed at the wrist, on the roadside. Police later said three men were ambushed by 20 people, who were wearing masks and armed with clubs and machetes. District police chief Assistant Commissioner Abang Zainal Abidin Abang Ahmad said the three, aged between 26 and 30, sustained severe injuries in the incident at 11am. One man's left hand was nearly hacked off. Another man's left hand was severed at the wrist, and the third victim suffered injuries to his left palm. All three received treatment at Raja Permaisuri Bainun Hospital here."
Woman fails in bid to nullify conversion to Islam,Rahmat Khairulrijal,"June 24, 2024 @ 2:38pm","KUALA LUMPUR: A 56-year-old woman failed to nullify her conversion to Islam, which she alleged was ""illegally"" done by her former husband 34 years ago. Judicial Commissioner Roz Mawar Rozain made the ruling after dismissing a legal bid filed by the woman, who also brought her three children as plaintiffs in their attempt to renounce their status as Muslims. They named the Malaysian Islamic Welfare Organisation (Perkim) permanent chairman, Federal Territories Islamic Religious Council (MAIWP) and Selangor National Registration Department director as defendants. According to the facts of the case, the woman (first plaintiff) married her former husband on March 23, 1990, in Kedah by way of Hindu rites and the marriage was recorded in the civil registry. In early April 1990, the first plaintiff became aware that her husband was a Muslim when she was pregnant with her second daughter. Her husband then gave the first plaintiff a copy of an Islamic conversion card dated Nov 8, 1990, which bore her photo, and told her that she was a Muslim. Throughout the marriage, she was frequently physically abused by her husband, who threatened her whenever she wanted to inform the authorities that the purported conversion was not valid. In 2007, the husband left the matrimonial home, and the family has had no contact with him since. In 2016, the first plaintiff filed a suit against the Selangor Islamic Religious Council to declare that she was no longer a Muslim, but it was dismissed by the Syariah Court on April 22, 2021. In her suit at the present court, the first plaintiff contended that her conversion to Islam was invalid and unlawful as she never uttered the syahadah as required under Sections 85 and 86 of the Administration of Islamic Law (Federal Territories) Act 1993. The plaintiffs' case is that they were never Muslims to begin with and had always practised Hinduism. MAIWP argued that based on documents from the proceedings in the Syariah Court filed by the first plaintiff herself, she had affirmed that she embraced Islam on Nov 8, 1990. MAIWP maintained that this is not a case where the first plaintiff was never a Muslim, but one where she is seeking to renounce Islam, which falls within the exclusive jurisdiction of the Syariah Court. Roz Mawar, in her judgment, said it was the Syariah High Court's findings that the first plaintiff's conversion into Islam was properly conducted based on documentary evidence and witness testimony. She said the Syariah Court also held that the first plaintiff had been taught the syahadah and her conversion was duly registered with Perkim, which then issued her a conversion certificate. The judge said this case is distinguishable from the precedent case of Rosliza Ibrahim in that there was no evidence that the latter had ever professed Islam. ""In contrast, the evidence here shows that the first plaintiff had affirmed on affidavit in her divorce proceedings before Syariah Court that she was a Muslim. ""Unlike Rosliza, the first plaintiff here had made several averments of her status as a Muslim and had submitted herself to the jurisdiction of the Syariah Court, which had ruled on the matter. ""Accordingly, this court finds that the case of Rosliza Ibrahim does not assist the plaintiffs,"" she said in her ground of judgment dated yesterday. Roz Mawar said the Syariah Court had considered the first plaintiff's contention that her conversion was involuntary and resulted from deception and fraud by her former husband. ""The trial judge specifically found that the first plaintiff had failed to adduce evidence to show that her conversion was materialised by way of force, compulsion, fraud or misrepresentation. ""The Syariah Court's decision, therefore, constitutes a valid and binding pronouncement of the very issue now sought to be raised by the first plaintiff in this action, namely the validity of her conversion to Islam."" ""The Syariah Court's findings operate as res judicata and preclude the first plaintiff from agitating the same issue before the civil courts,"" she said, adding that to allow the present action to proceed would be tantamount to sitting on an appeal or review of the Syariah Court's decision. She said the plaintiff's case falls within the category of renunciation of Islam, rather than a person who was never a Muslim to begin with, which falls within the exclusive jurisdiction of the Syariah Court by virtue of Article 121(1A) of the Federal Constitution. ""The case advanced by the plaintiffs, though tugging at the strings of sympathy, cannot be sustained when examined in the cold light of day. ""To allow her to now resile from those statements and mount a collateral attack on the findings of the Syariah Courts would be to countenance and abuse of the judicial process. ""She cannot be allowed to have a second bite at the cherry by seeking to re-litigate the matter all over again in this forum,"" she added. The court also awarded RM20,000 in cost to the defendants."
27 arrested in raid on Pudu food court for prostitution activities,New Straits Times,"June 22, 2024 @ 3:24pm","KUALA LUMPUR: Police raided a food court on Jalan Gelang and Jalan Kalong in Pudu here and arrested 27 individuals, including guest relations officers (GROs) and prostitutes. The raid, near the food court and buildings on Jalan Gelang and Jalan Kalong ,was conducted by the Vice, Gambling, and Organised Crime Investigation Division (D7) of the Criminal Investigation Department of Bukit Aman, following an exclusive report by Harian Metro. D7 deputy director Assistant Commissioner Mohamad Farouk Eshak said investigations revealed the premises operated daily from 12pm to 10pm. He said the premises operated under the concept of a restaurant and flower garland shop, but offered sexual services by GROs and prostitutes from Vietnam and China. ""Customers interested in sexual services are taken to rented rooms adjacent to the premises for RM100,"" he said. He said the raid resulted in the arrest of 23 foreign women hired as GROs and prostitutes. He said local men acting as managers, Indonesian female cashiers and two Myanmar male cleaners were also detained. ""The detainees' ages ranged from 20 to 60. Upon inspection, it was found that none of the foreign GROs and prostitutes had valid work permits or travel documents,"" he said. During the raid, police seized 10 yellow and 10 red flower garlands, 25 condoms, tissues, lubricants, audio equipment and RM5,310 in cash. ""All seized items were taken to the Dang Wangi police headquarters,"" he said. He said investigations were conducted under Section 372A of the Penal Code, concerning offences related to living on or trading in prostitution proceeds, which carries penalties of up to 15 years' imprisonment, whipping and fines upon conviction."
10 illegal migrants nabbed in estate near Malaysian-Thai border,Ahmad Mukhsein Mukhtar,"June 22, 2024 @ 1:21pm","BUKIT KAYU HITAM: A total of 10 Myanmar nationals who entered the country illegally were nabbed by the army near the Malaysia-Thailand border here yesterday. In a statement today, the Second Infantry Division said soldiers encountered a group of suspicious individuals in a rubber estate, which is under the jurisdiction of the Sixth Infantry Brigade at 3.40pm. ""All 10 individuals, consisting of seven men and three women aged between 21 and 49, were Myanmar nationals without valid travel documents attempting to enter Malaysia through an illegal route at the border. ""Also seized were six phones, 12 bags, a fake passport, and Thai and Myanmar currency with an estimated total value of RM3,326.23,"" it said. The division said the Myanmar nationals had been handed over to the police for further action. ""The operating team will continue to ensure the security of the national border against cross-border criminal activities, particularly the entry of illegal migrants,"" said the statement."
"Commercial crime losses surge to RM1.07 bil, up 27 per cent this year",Mohd Haris Fadli Mohd Fadzil,"June 22, 2024 @ 12:56pm","KUALA LUMPUR: Total losses from commercial crime this year increased 27 per cent from January to June 16 compared to the same period last year. Losses incurred have reached RM1.07 billion, said Bukit Aman Commercial Crime Investigation Department (CCID) director Datuk Seri Mohamed Ramli Yoosuf. He said an average of 88 cases of commercial crime were recorded per day during this period. ""The number of cases this year increased by one percent compared to the same period last year, which recorded a total of 14,798 cases. ""The value of losses also showed a similar trend with an increase of 27 per cent compared to last year, which recorded losses amounting to RM 843 million,"" he said. He noted that the increase in these commercial crime cases was appropriately handled through improved charging rates successfully recorded to date. He said a total of 7,018 investigations resulted in charges in court compared to 6,219 charges recorded for the same period last year. ""Police call for the involvement of every layer of society to always be vigilant and participate in disseminating messages to prevent commercial crimes. ""Let us work together to create a safe environment and prevent the threat of commercial crimes,"" he said."
Suspect in attempted snatch theft case involving Chinese national in Dengkil arrested,Austin Camoens,"June 22, 2024 @ 10:54am","SEPANG: Police have arrested an unemployed man for an attempted snatch theft at Southville City. Sepang district police chief Assistant Commissioner Wan Kamarul Azran Wan Yusof said they received a report on Friday from a man who recorded the incident. ""Based on the video, the suspect who was riding a motorcycle attempted to snatch the bag of a Chinese national at Block C2, Savanna Executive Suites, Southville City at around 10.45am. ""From the intelligence gathered, we managed to identify the suspect and arrest him near Lorong Bahagia, Kampung Jenderam Hilir at around 4pm on the same day,"" he said in a statement on Saturday. He said the suspect is a 33-year-old unemployed man with no prior record. ""We have also seized the motorcycle used by the suspect in the incident ""We will obtain a remand order on the suspect to help with further investigations,"" he said adding that the case was classified as attempted robbery. A video of the incident has been circulating on social media and WhatsApp. The 22-second video believed to be dashcam footage shows a motorcyclist attempting to snatch a luggage bag as several individuals stand near parked cars. The video ends with the driver of the vehicle that recorded the incident reading out the number plate of the motorcycle as it is seen speeding off."
Shooting incident at border will not deter Customs dept: DG,Austin Camoens,"June 22, 2024 @ 9:34am","KUALA LUMPUR: The recent incident at the Malaysia-Thailand border in Kelantan, where diesel and petrol smugglers fired shots at Customs Department officers, will not deter their resolve to combat smuggling, assured director-general Datuk Anis Rizana Mohd Zainuddin. ""We note the incident involving the a group believed to be smugglers who fired shots toward our personnel who were conducting diesel and petrol smuggling operations at Kelantan on Wednesday. ""While we are thankful that none of our personnel were injured in the incident, we will not allow it to affect our spirits in shouldering the responsibility of collecting revenue for the country,"" she said in a statement on Saturday. She said it would also not affect their role in providing trade facilities and border control. ""Challenges and obstacles during enforcement duties are routine for our personnel in maintaining the sovereignty of the country. ""We will enhance our strategies to block smugglers and prevent leakages in revenue so that our country may prosper,"" she said. Anis said the department was commited to handling issues involving smuggling and will take stern action against those who are involved in cross-border crimes based on all available laws. It was reported that smugglers at the Malaysia-Thailand border in Kelantan fired shots at Customs Department officers during an enforcement operation on Wednesday. Kelantan Customs director Wan Jamal Abdul Salam Wan Long was quoted saying the incident occurred in Kampung Simpangan, Pengkalan Kubor, Sungai Golok, at 9.45am. As a Customs team arrived at an illegal jetty known as Pok Mat in Kampung Simpangan, goods were being unloaded from 15 engine-powered boats, believed to be petrol and diesel. The team approached one of the boats that was loaded with barrels believed to contain fuel. An officer jumped into the boat. The smugglers tried to escape by jumping into a boat belonging to an accomplice who aimed a pistol at the raiding team. They fled by river in the direction of Thailand. The smugglers fired two shots into the air and at the enforcement team as they fled."
"Cops nab 3 for possessing dangerous weapons, police equipment",Bernama,"June 22, 2024 @ 9:32am","IPOH: Three local men were arrested yesterday in Sungai Senam for illegal possession of dangerous weapons and police equipment. Ipoh district police chief ACP Abang Zainal Abidin Abang Ahmad said that at 6.10 am, police received information from the public about a vehicle being driven suspiciously in the area. Acting on this information, the police stopped a Perodua Alza in which the suspects were travelling. According to ACP Abang Zainal, the suspects, aged 27 to 37, were found in possession of dangerous weapons and police equipment during a search of the vehicle. ""All suspects also tested positive for methamphetamine and amphetamine-type drugs, and a check revealed that they had criminal and drug records,"" he said in a statement. He added that all the suspects would be remanded to assist investigations under Section 6(1) of the Corrosive and Explosive Substances and Offensive Weapons Act 1958 and Section 89(a) of the Police Act 1967. ""With the arrest of this group, the police believe they have solved several cases of robbery and impersonation of police officers in the Ipoh district,"" he said. – BERNAMA"
Former director charged with submitting false claim,Dawn Chan,"June 22, 2024 @ 7:01am","A FORMER electronics company director was charged in the Sessions Court yesterday with submitting a forged document to the Social Security Organisation (Perkeso) to claim wage subsidy of more than RM80,000 four years ago. Muhammad Asyraf Rizal, 26, pleaded not guilty after the charge was read out to him before judge Azrul Darus. Asyraf was charged with dishonestly using the wage subsidy programme application form with false details to claim RM88,200. He committed the offence on June 16, 2020, at Perkeso's Employment Insurance Division in Putrajaya. The offence carries a maximum of two years' jail and fine, or both upon conviction. Malaysian Anti-Corruption Commission (MACC) prosecuting officer Rais Adha Ramli proposed bail at RM80,000, and applied for the accused to report to the Johor Baru MACC office monthly until the disposal of the case. In mitigation, defence counsel Siti Nabila Hamzah sought a lower bail as her client was the sole breadwinner and had to meet his grandparents' medical expenses. After hearing the submissions, Azrul allowed bail at RM15,000 in one surety and granted the prosecution's application. The court set Aug 2 for mention."
"Man escapes gallows, gets 38 years in jail for kidnapping, murdering glove factory manager",Bernama,"June 21, 2024 @ 9:05pm","PUTRAJAYA: A former freelance computer technician escaped the gallows today after the Federal Court commuted his death sentence to 38 years in prison for the kidnapping and murder of a glove factory manager whose body was found at a landfill in Sungai Siput, Perak, 17 years ago. The court's three-judge panel, headed by Chief Justice Tun Tengku Maimun Tuan Mat, made the decision after granting Yan Wai Seng's application for a review to commute his death sentence to imprisonment under the Revision of Sentence of Death and Imprisonment for Natural Life (Temporary Jurisdiction of the Federal Court) Act 2023. ""The court hereby orders the death sentence imposed on the applicant to be commuted to 38 years in jail, to run concurrently from the date he was arrested (May 1, 2007) for both the murder and kidnapping offences,"" she said. Tengku Maimun also sentenced Yan, now 36, to 12 strokes of the cane for murder and five strokes for kidnapping. The other two judges on the bench were Datuk Rhodzariah Bujang and Datuk Nordin Hassan. On Dec 3, 2012, the Ipoh High Court sentenced Yan and another man, Chew Wai Keong, to death after finding them guilty of murdering Teh Wai Toong, 31, at a house in Taman Utama, Ipoh, Perak, between 2:30 pm on April 26, 2007, and 2:30 pm on April 29, 2007. The duo were also sentenced to death for kidnapping and confining the victim for a ransom of RM200,000 at the same house between 11 pm on April 20, 2007, and 2:30 pm on April 26, 2007. On April 5, 2014, the Court of Appeal upheld the conviction and death sentence against the two men for murder and kidnapping, and the Federal Court on Feb 23, 2018, upheld the sentence against Yan. However, Chew's appeal was cancelled by the same court because he had died. Meanwhile, the bench also commuted the death sentence imposed on businessman Loh Yoon Fatt, 52, to 35 years in jail for murdering a business consultant using a steering wheel lock on Christmas Day 15 years ago. On Nov 21, 2011, Loh was sentenced to death by the Ipoh High Court for murdering Lam Siew Kong, 59, in the car park of a restaurant at Jalan Sultan Abdul Halim, Ipoh, at 9:20 pm on Dec 25, 2009. The sentence was upheld by the Court of Appeal and the Federal Court in 2013 and 2014, respectively."
Data phishing attempt foiled in Cheras,Hafidzul Hilmi Mohd Noor,"June 21, 2024 @ 8:27pm","KUALA LUMPUR: A person was detained in Cheras yesterday for suspected involvement in phishing activities through short message service (SMS) links. The Malaysian Communications and Multimedia Commission (MCMC) said the arrest was made during an operation conducted jointly with the police, following information from telecommunications provider Maxis. It said in a statement that the suspect used a vehicle to carry out the phishing activities. ""The suspect would park the vehicle by the roadside to disseminate phishing SMS to active users in the area. ""The suspect's activities were identified through spectrum analysis by the telecommunications provider, which detected spectrum readings emitted from the suspect's communication equipment, also causing interference with network service quality,"" the statement said. A search of the suspect's vehicle revealed communication equipment such as smartphones, a GSM blaster, transceiver antenna, and a laptop connected to the vehicle. ""All the equipment, believed to be used by the suspect for sending phishing SMS to deceive users, were seized for further investigation. ""Therefore, the public is reminded not to be deceived and to never click on any links in SMS messages, as instructed by MCMC last year, to protect the public from becoming victims of online fraud,"" the statement added. The case is being investigated under Sections 233, 238, and 239 of the Communications and Multimedia Act 1998. ""Investigations are also being carried out under Regulation 16 of the Communications and Multimedia (Technical Standards) Regulations (Amendment) 2022, which carries a maximum fine of RM300,000 or imprisonment of up to three years, or both, if convicted. ""MCMC urges the public to report any suspicious vehicles with communication devices as described directly to MCMC or the police,"" the statement added."
"Housewife, former lover escape gallows for murdering husband in his sleep",Bernama,"June 21, 2024 @ 7:21pm","PUTRAJAYA: A housewife and her former lover, both convicted of murdering her husband 12 years ago, escaped the gallows today after the Federal Court commuted their sentences to 36 years in prison. A three-judge panel led by Chief Justice Tun Tengku Maimun Tuan Mat overturned the death sentences previously imposed on K. Annamah, 47, and G. Puganeswaran, 34, after granting their applications under the Revision of Sentence of Death and Imprisonment for Natural Life (Temporary Jurisdiction of the Federal Court) Act 2023. Justice Tengku Maimun, sitting with Federal Court judges Datuk Rhodzariah Bujang and Datuk Nordin Hassan, ordered both defendants to serve their prison terms from the date of their arrest on Feb 17, 2012, and sentenced Puganeswaran to 12 strokes of the cane. Earlier, Puganeswaran's lawyer A. Saha Deva requested the death penalty be set aside for his client, contending that his client was not present in the room during the killing and that only Annamah and four teenagers were involved. ""There is no evidence of the existence of the Employees Provident Fund (EPF) money allegedly used to pay the underage teenagers,"" he said, also noting that Annamah had been abused by her husband. However, Wan M. Razali Wan A. Kadir, representing Annamah, argued that his client's role was minimal in merely signalling Puganeswaran with a missed call and opening the door to allow the teenagers into the house. Meanwhile, deputy public prosecutor (DPP) Ng Siew Wee requested for the death sentence to be upheld, arguing that the murder was meticulously planned and pointing out that Annamah had betrayed her marriage by engaging in a relationship with Puganeswaran. ""The murder was carried out through a conspiracy, manipulating four underage teenagers to execute their malicious plan. Puganeswaran promised to pay the teenagers RM5,000 once they completed the murder, using the victim's EPF savings,"" she said. The prosecution was handled by DPPs Ng Siew Wee and Norzilati Izhani Zainal @ Zainol. In 2017, the Shah Alam High Court sentenced Puganeswaran and Annamah to death for the murder of lorry driver G. Ganesan, 31, who was stabbed while he was asleep in a flat in Petaling Jaya at 2.47 am on Feb 16, 2012. The sentence, under Section 302 of the Penal Code, was upheld by both the Court of Appeal and the Federal Court in 2018 and 2020, respectively. – BERNAMA TAGS: Federal Court, housewife, former lover, murder, husband, death penalty, commuted, crime, courts, NST, news, Malaysia"
Woman remanded over RM24.2 million loss from bank accounts,Bernama,"June 21, 2024 @ 6:55pm","KOTA KINABALU: A woman has been remanded for three days starting tomorrow to assist in the investigation into the loss of RM24.2 million from several fixed deposit accounts at a bank. The woman, in her 40s, is the latest suspect to be remanded to assist in the investigation. The remand order was issued by Magistrate Stephanie Sherron Abbie at the Kota Kinabalu Magistrate's Court today following a police application. The same court today also allowed the remand orders for 10 other suspects in the case, aged 22 to 53, to be extended for three days starting today, after they were initially remanded last Monday (June 17). Yesterday, the same court also allowed the remand of a suspect, a businessman with the title Datuk, to be extended for three days starting yesterday after he was initially remanded last Monday. On Wednesday, Bukit Aman Commercial Crime Investigation Department (CCID) director Datuk Seri Mohamed Ramli Yoosuf said that 13 individuals, including four bank employees, were detained to assist in the investigation. He said investigations showed the involvement of syndicate members from inside and outside the bank who conspired to withdraw the money, as it could only be done through internal collusion within the bank. He said the arrests were made after receiving four reports from account holders and bank staff in early June in Petaling Jaya, Selangor, when the victims realised there were suspicious cash withdrawals made in Kota Kinabalu involving several fixed deposit accounts. – BERNAMA"
Security guard claims lawyer failed to transfer RM3.5 million from land sale,Austin Camoens,"June 21, 2024 @ 6:29pm","KUALA LUMPUR: An elderly security guard has claimed that the lawyer he appointed to handle a land deal worth RM3.5 million failed to transfer the proceeds to him. Federal Commercial Crime Investigation Department (CCID) director Datuk Seri Ramli Mohamed Yoosuf said they received a report yesterday from the 63-year-old man, who claimed he had signed an agreement to sell two plots of land to a company on Oct 25, 2022. ""The lawyer, appointed by the victim, is believed to have witnessed the deal. ""On Mar 15 last year, the victim, accompanied by his lawyer, had stamped his thumbprint at the Petaling District Land Office, and the land deal was completed on the same day,"" he told reporters on Friday. He said the complainant, however, has yet to receive the proceeds from the land deal. ""The case is being investigated under Section 409 of the Penal Code for criminal breach of trust. ""We call on the Bar Council to take issues of breach of trust involving lawyers seriously, as the losses incurred are significant despite the small number of lawyers involved in such cases,"" he said."
